service_week,total_metric,num_data_points,prev_total_metric,prev_num_data_points,rolling_mean,rolling_std,z_score,is_outlier_z,is_outlier_metric,is_outlier_count,is_outlier
2018-15,0.0,1,0.0,1,30.72,41.0530786502872,0.7482995431765284,False,False,False,False
2018-22,0.0,1,0.0,1,31.986,35.6655328012915,0.8968322491691963,False,False,False,False
2018-41,86.75,8,0.0,1,31.73,31.90638494094873,1.7244197392411948,False,False,False,False
2018-43,36.13,4,86.75,8,27.875714285714285,30.859949155900466,0.2674756744603219,False,False,False,False
2018-44,37.05,8,36.13,4,41.05571428571428,36.2084538274065,0.11062925538903633,False,False,False,False
2018-45,30.45,3,37.05,8,41.05571428571428,36.2084538274065,0.2929071298174771,False,False,False,False
2018-46,4.75,3,30.45,3,32.01571428571428,30.319276517941987,0.8992864414023631,False,False,False,False
2018-47,92.25999999999999,7,4.75,3,26.854285714285712,32.499095811598025,2.012539507710636,True,False,False,True
2018-49,0.0,3,92.25999999999999,7,23.504285714285714,32.48156752023259,0.7236191941674313,False,False,False,False
2018-50,23.47,5,0.0,3,22.346666666666664,35.42324077024386,0.03171176066637456,False,False,False,False
2018-51,0.0,5,23.47,5,25.865999999999996,38.41373035777702,0.6733529849637037,False,False,False,False
2018-52,13.6,2,0.0,5,9.2675,11.434664766985225,0.3788917373869171,False,False,False,False
