service_week,total_metric,num_data_points,prev_total_metric,prev_num_data_points,rolling_mean,rolling_std,z_score,is_outlier_z,is_outlier_metric,is_outlier_count,is_outlier
2017-01,42.57,8,42.57,8,92.33999999999999,52.70068121001854,0.944390069677858,False,False,False,False
2017-02,165.77,15,42.57,8,102.55999999999999,51.04178043524736,1.2383972396924812,False,False,False,False
2017-03,70.94,14,165.77,15,92.67999999999999,51.67104682508378,0.4207385244892365,False,False,False,False
2017-04,90.08,9,70.94,14,88.6285714285714,48.3716109677882,0.030005793530323684,False,False,False,False
2017-05,143.44,13,90.08,9,87.81571428571428,49.31324022922,1.127978722463388,False,False,False,False
2017-06,43.28,11,143.44,13,75.50571428571428,35.403974756677094,0.9102287103974559,False,False,False,False
2017-07,64.32,9,43.28,11,81.68142857142857,38.13955445840597,0.4552079545229746,False,False,False,False
2017-08,36.88,9,64.32,9,86.28714285714285,41.15058311222565,1.2006425941134287,False,False,False,False
2017-09,79.60000000000001,10,36.88,9,82.85285714285715,36.30352357291953,0.08960169214218076,False,False,False,False
2017-10,114.17000000000002,16,79.60000000000001,10,81.99000000000001,37.45438336608058,0.8591784754663147,False,False,False,False
2017-11,122.32,13,114.17000000000002,16,91.05428571428571,40.052955719956074,0.7806094138050437,False,False,False,False
2017-12,119.4,16,122.32,13,99.76857142857143,32.160019915298264,0.6104296148799976,False,False,False,False
2017-13,37.24,8,119.4,16,94.20714285714284,38.89079741802068,1.4647975006741876,False,False,True,True
2017-14,127.77000000000001,13,37.24,8,89.7042857142857,38.00896072294132,1.001493162709359,False,False,False,False
2017-15,97.88000000000001,16,127.77000000000001,13,81.26428571428572,36.069435286746064,0.4606591191024229,False,False,False,False
2017-16,40.67,7,97.88000000000001,16,74.90428571428572,31.909518359021995,1.072854981046946,False,False,True,True
2017-17,82.64999999999999,11,40.67,7,92.10857142857142,39.726055861181514,0.2380949032952933,False,False,False,False
2017-18,63.239999999999995,14,82.64999999999999,11,92.94714285714285,40.6553742713415,0.7307064167918337,False,False,False,False
2017-19,74.88,11,63.239999999999995,14,81.85142857142857,48.85644189137921,0.1426921057191988,False,False,False,False
