service_week,total_metric,num_data_points,prev_total_metric,prev_num_data_points,rolling_mean,rolling_std,z_score,is_outlier_z,is_outlier_metric,is_outlier_count,is_outlier
2017-01,100.66,7,100.66,7,35.7125,46.59643718497514,1.3938297415782273,False,False,False,False
2017-02,0.64,1,100.66,7,54.855999999999995,58.82847040336847,0.9215945889508566,False,False,False,False
2017-03,38.37,7,0.64,1,57.169999999999995,52.9221949658175,0.35523847814972404,False,False,False,False
2017-04,3.18,1,38.37,7,62.107142857142854,50.04591149277688,1.1774616766775803,False,False,False,False
2017-05,131.43,9,3.18,1,56.39857142857143,47.10821281141659,1.5927462345428829,False,False,False,False
2017-06,68.74000000000001,4,131.43,9,56.761428571428574,46.614337361149396,0.2569718268387302,False,False,False,False
2017-07,91.73,9,68.74000000000001,4,59.121428571428574,45.94135588935508,0.7097868749695969,False,False,False,False
2017-08,60.7,6,91.73,9,73.78999999999999,41.25637486094321,0.3172842995566267,False,False,False,False
2017-09,3.18,1,60.7,6,65.9057142857143,32.81521489448803,1.9114826609363553,False,False,False,False
2017-10,54.88999999999999,7,3.18,1,56.540000000000006,40.35983110304931,0.040882232529346495,False,False,False,False
2017-11,105.86000000000001,11,54.88999999999999,7,45.21857142857143,39.95668505960399,1.5176791688541942,False,False,False,False
2017-12,76.24000000000001,5,105.86000000000001,11,40.14,39.92023254775287,0.9043033493559169,False,False,True,True
2017-13,3.18,1,76.24000000000001,5,40.52571428571429,39.514584588960254,0.9451121573007271,False,False,False,False
2017-14,12.48,5,3.18,1,39.25857142857143,39.117407220047795,0.6845691811303722,False,False,False,False
2017-15,25.15,4,12.48,5,39.99571428571428,40.602089378562304,0.36563917061747914,False,False,False,False
2017-16,5.88,2,25.15,4,30.43285714285715,38.46994268875625,0.6382348250815904,False,False,False,False
2017-17,46.019999999999996,9,5.88,2,48.78000000000001,51.66783557817507,0.053418146301562115,False,False,False,False
2017-18,111.02,7,46.019999999999996,9,52.83142857142858,49.4095916560646,1.1776776427058222,False,False,False,False
2017-19,9.3,3,111.02,7,55.27857142857143,48.219978718566935,0.9535170410779866,False,False,False,False
2017-20,131.61,7,9.3,3,59.35285714285715,44.40438293467802,1.6272524935981707,False,False,False,False
2017-21,40.84,4,131.61,7,67.76142857142857,46.95835475133666,0.5733043398557794,False,False,False,False
2017-22,42.28,6,40.84,4,66.9057142857143,46.08513710411159,0.5343526315237382,False,False,False,False
2017-23,34.4,5,42.28,6,97.71428571428571,68.0215671330652,0.9307972218638978,False,False,False,False
2017-24,104.88,5,34.4,5,78.91285714285713,74.92919740534744,0.3465557320288296,False,False,False,False
2017-25,105.03,11,104.88,5,85.80857142857144,73.03867797922126,0.2631678051031654,False,False,True,True
2017-26,224.96,14,105.03,11,97.56857142857143,71.47242601837706,1.7823856789004695,False,False,False,False
2017-27,0.0,1,224.96,14,95.45000000000002,73.83758798877439,1.2927020315792463,False,False,True,True
2017-28,89.11,12,0.0,1,80.92142857142858,81.30109540643174,0.10071907872379814,False,False,True,True
2017-29,124.6,13,89.11,12,66.37142857142857,85.28364212605905,0.6827636575663935,False,False,False,False
2017-30,19.57,2,124.6,13,38.787142857142854,48.910737646685085,0.39290233150767645,False,False,True,True
2017-31,3.18,1,19.57,2,44.378571428571426,45.88099658485033,0.8979441270936774,False,False,False,False
2017-32,3.18,1,3.18,1,52.68285714285714,58.77533459830625,0.8422386274987481,False,False,False,False
2017-33,31.87,5,3.18,1,37.43714285714286,50.231763760355754,0.11082913360761973,False,False,False,False
2017-34,39.14,4,31.87,5,39.082857142857144,49.735087116402944,0.0011489445471185445,False,False,False,False
2017-35,147.23999999999998,12,39.14,4,42.64142857142856,47.58265980675853,2.198249779507166,True,False,True,True
2017-36,17.88,3,147.23999999999998,12,54.76571428571429,46.655480155834084,0.7905976781829749,False,False,True,True
2017-37,31.090000000000003,4,17.88,3,51.24714285714286,49.511312415879836,0.4071219661444044,False,False,False,False
2017-38,28.089999999999996,5,31.090000000000003,4,45.65571428571429,53.18060199519584,0.3303030358193599,False,False,False,False
2017-39,88.05000000000001,5,28.089999999999996,5,25.10857142857143,30.21891318836127,2.082848849629387,True,False,False,True
2017-47,7.24,2,88.05000000000001,5,24.317142857142862,30.51091592325918,0.5597060048965805,False,False,False,False
2017-48,0.0,1,7.24,2,23.188333333333333,33.26252871726182,0.6971308023643911,False,False,False,False
2018-46,3.41,1,0.0,1,22.208000000000002,37.09160107086239,0.5067993685170664,False,False,False,False
2018-50,12.34,2,3.41,1,5.7475000000000005,5.297366484081186,1.2444862970705812,False,False,False,False
