service_week,total_metric,num_data_points,prev_total_metric,prev_num_data_points,rolling_mean,rolling_std,z_score,is_outlier_z,is_outlier_metric,is_outlier_count,is_outlier
2017-01,9.61,1,9.61,1,4.975,3.09,1.5,False,False,False,False
2017-02,3.43,1,9.61,1,4.6659999999999995,2.76378002018974,0.44721359549995776,False,False,False,False
2017-04,3.43,1,3.43,1,4.46,2.5229744350666734,0.40824829046386296,False,False,False,False
2017-06,3.43,1,3.43,1,4.431428571428571,2.3043902199311397,0.434574215237945,False,False,False,False
2017-08,3.43,1,3.43,1,5.901428571428572,6.180535113217485,0.39987291167446937,False,False,False,False
2017-10,3.43,1,3.43,1,5.90142857142857,6.180535113217486,0.39987291167446903,False,False,False,False
2017-11,4.26,1,3.43,1,5.901428571428572,6.180535113217486,0.265580332667032,False,False,False,False
2017-12,19.9,2,4.26,1,5.901428571428572,6.180535113217486,2.2649448910393777,True,False,False,True
2017-13,3.43,1,19.9,2,17.455714285714286,30.101161581763396,0.46595259281328466,False,False,False,False
2017-14,3.43,1,3.43,1,17.455714285714286,30.101161581763396,0.46595259281328466,False,False,False,False
2017-15,3.43,1,3.43,1,16.84714285714286,30.453412898111388,0.44057928423434417,False,False,False,False
2017-16,84.31,3,3.43,1,14.004285714285716,31.0440428301163,2.2647087130516916,True,False,False,True
2017-17,3.43,1,84.31,3,13.945714285714287,31.06769643705117,0.33847743771479954,False,False,False,False
2017-18,0.0,1,3.43,1,14.828571428571431,30.80576971314055,0.48135695250121074,False,False,False,False
2017-20,0.0,1,0.0,1,14.338571428571429,31.04365497627034,0.46188412542053386,False,False,False,False
2017-21,3.02,1,0.0,1,2.7842857142857143,3.4335737317594575,0.06864983953424507,False,False,False,False
2017-22,9.61,1,3.02,1,3.6042857142857136,4.210901950662737,1.4262299042059317,False,False,False,False
2017-24,0.0,1,9.61,1,4.094285714285713,3.9104341495664183,1.0470156401277542,False,False,False,False
2017-25,3.43,1,0.0,1,5.074285714285714,3.5569690146849147,0.46227158783146405,False,False,False,False
2017-27,9.17,2,3.43,1,4.642857142857143,4.002864450555853,1.1309758082150898,False,False,False,False
2017-31,3.43,2,9.17,2,3.27,3.647556259561553,0.043864984832127744,False,False,False,False
2017-32,6.86,2,3.43,2,4.25,3.5426073260617907,0.7367454983788616,False,False,False,False
2017-33,0.0,1,6.86,2,3.7600000000000002,3.8946501768451554,0.9654268879793902,False,False,False,False
2017-34,0.0,1,0.0,1,2.9400000000000004,3.0860924591895604,0.9526610232449337,False,False,False,False
2017-35,6.86,2,0.0,1,2.9400000000000004,3.0860924591895604,1.2702146976599114,False,False,False,False
2017-36,0.0,1,6.86,2,2.45,2.5928362848432993,0.9449111825230679,False,False,False,False
2017-37,3.43,1,0.0,1,2.9400000000000004,2.366924868544275,0.20701966780270614,False,False,False,False
2017-38,3.43,1,3.43,1,3.43,1.9803114233204164,0.0,False,False,False,False
2017-41,3.43,1,3.43,1,2.9400000000000004,1.2964181424216497,0.377964473009227,False,False,False,False
2017-42,3.43,1,3.43,1,3.43,0.0,0.0,False,False,False,False
2017-44,3.43,1,3.43,1,3.9142857142857146,1.2812995635012803,0.37796447300922736,False,False,False,False
2017-47,3.43,2,3.43,1,4.298571428571429,1.4970685641326806,0.5801814622128756,False,False,False,False
2017-50,3.43,2,3.43,2,3.8085714285714287,2.2169756318870424,0.17076030206484347,False,False,False,False
2018-01,6.82,2,3.43,2,3.8057142857142856,2.217557644067433,1.3592817856842392,False,False,False,False
2018-02,6.12,2,6.82,2,3.6514285714285717,2.284611043273585,1.0805215337811942,False,False,False,False
2018-03,0.0,1,6.12,2,3.161428571428572,2.6745680559137557,1.1820333247599797,False,False,False,False
2018-04,3.41,3,0.0,1,3.158571428571429,2.6742439964186056,0.09401856067183431,False,False,False,False
2018-05,2.35,4,3.41,3,2.6714285714285717,2.1565978497889415,0.14904427891367353,False,False,False,False
2018-07,0.0,2,2.35,4,2.184285714285714,1.546672311155546,1.4122485406451712,False,False,False,False
2018-10,3.41,2,0.0,2,3.8771428571428572,3.7181479004369646,0.12563858933313476,False,False,False,False
2018-13,3.41,1,3.41,2,3.877142857142857,3.7181479004369646,0.12563858933313465,False,False,False,False
2018-16,2.71,1,3.41,1,4.747142857142857,4.002851959481365,0.5089228574435719,False,False,False,False
2018-18,11.85,2,2.71,1,4.747142857142857,4.002851959481365,1.774449121465245,False,False,False,False
2018-28,3.41,1,11.85,2,4.747142857142857,4.002851959481365,0.3340475417722183,False,False,False,False
2018-30,8.44,1,3.41,1,4.26,4.382221658778418,0.9538540780169505,False,False,False,False
2018-31,0.0,1,8.44,1,4.36,4.3488159308023135,1.002571750420263,False,False,False,False
2018-32,3.41,1,0.0,1,3.1542857142857144,2.8313533698148494,0.09031521407411174,False,False,False,False
2018-35,0.0,1,3.41,1,6.147142857142858,8.51484921433475,0.7219320862187601,False,False,False,False
2018-37,3.41,1,0.0,1,5.915714285714286,8.46400783148436,0.296043474392066,False,False,False,False
2018-45,3.41,1,3.41,1,6.901666666666667,8.82052473873673,0.39585702325990435,False,False,False,False
2018-49,24.36,4,3.41,1,7.6,9.674427631648292,1.7324022296856536,False,False,False,False
2018-50,6.82,3,24.36,4,9.5,10.036237674879299,0.26703233689931827,False,False,False,False
