service_week,total_metric,num_data_points,prev_total_metric,prev_num_data_points,rolling_mean,rolling_std,z_score,is_outlier_z,is_outlier_metric,is_outlier_count,is_outlier
2017-01,264.54999999999995,20,264.54999999999995,20,333.28,65.46160299493641,1.0499284596699598,False,False,False,False
2017-02,408.22999999999996,21,264.54999999999995,20,317.14799999999997,67.19466660383101,1.3554944849567432,False,False,False,False
2017-03,365.49000000000007,21,408.22999999999996,21,305.7466666666666,66.27247533227252,0.9014803360489602,False,False,False,False
2017-04,294.85,19,365.49000000000007,21,321.70571428571424,73.77582640611195,0.36401780358084007,False,False,False,False
2017-05,252.62,20,294.85,19,326.86857142857144,70.29169496428707,1.0562922329059603,False,False,False,False
2017-06,248.73999999999998,21,252.62,20,319.04285714285714,62.321387370705466,1.128069513675548,False,False,False,False
2017-07,417.46,24,248.73999999999998,21,318.68285714285724,62.01489275818776,1.5927971244310712,False,False,False,False
2017-08,300.69000000000005,16,417.46,24,322.3057142857143,61.124917138905765,0.3536317969412174,False,False,False,False
2017-09,353.45000000000016,20,300.69000000000005,16,342.10714285714283,57.107085583222705,0.1986243392919653,False,False,False,False
2017-10,362.9700000000001,20,353.45000000000016,20,346.4700000000001,49.436660148787006,0.33376041080325386,False,False,False,False
2017-11,320.2100000000001,22,362.9700000000001,20,337.1942857142858,38.85608397541833,0.4371074996911819,False,False,False,False
2017-12,391.22999999999996,20,320.2100000000001,22,328.6528571428572,52.42153842149418,1.1937296146097938,False,False,False,False
2017-13,279.28000000000003,17,391.22999999999996,20,321.7314285714286,51.7965930116938,0.8195795534629962,False,False,False,False
2017-14,352.53000000000003,17,279.28000000000003,17,300.4942857142857,61.61568005444253,0.8445206518817369,False,False,False,False
2017-15,240.9,19,352.53000000000003,17,301.5785714285715,62.085445269287646,0.9773397156996453,False,False,False,False
2017-16,305.0,18,240.9,19,290.57714285714286,48.994595182967444,0.29437649375397074,False,False,False,False
2017-17,214.31000000000003,20,305.0,18,285.2914285714286,52.30079554161403,1.3571768428445978,False,False,False,False
2017-18,327.79999999999995,21,214.31000000000003,20,267.3857142857143,46.588066375107566,1.2967759861045782,False,False,False,False
2017-19,314.22,19,327.79999999999995,21,252.8085714285714,67.51864197601807,0.9095477452470285,False,False,False,False
2017-20,242.28,20,314.22,19,243.73285714285717,63.48312104128825,0.02288572330765304,False,False,False,False
2017-21,227.19,11,242.28,20,239.77571428571426,66.41829990224655,0.18949166576437104,False,False,False,False
2017-22,138.85999999999999,12,227.19,11,219.86285714285714,55.65197202684009,1.4555253694117203,False,False,False,False
2017-23,241.47,17,138.85999999999999,12,213.11714285714288,43.93737805645885,0.64530152678715,False,False,False,False
2017-24,186.60999999999999,15,241.47,17,198.99428571428572,48.638107438901194,0.254621044411376,False,False,False,False
2017-25,188.41,13,186.60999999999999,15,190.31571428571428,48.186362129113824,0.039548830862308745,False,False,False,False
2017-26,267.0,16,188.41,13,205.65714285714287,46.12481389819212,1.3299318080340587,False,False,False,False
2017-27,143.42,9,267.0,16,200.53571428571428,43.39513830570688,1.3161777221067879,False,False,False,False
2017-28,166.44000000000003,17,143.42,9,197.60142857142856,45.15255231935821,0.690136591859254,False,False,False,False
2017-29,246.25,20,166.44000000000003,17,191.51999999999998,49.27540732116445,1.1106960444443195,False,False,False,False
2017-30,205.61999999999998,18,246.25,20,189.02714285714288,45.08352386193346,0.3680470318529687,False,False,False,False
2017-31,166.07000000000002,10,205.61999999999998,18,186.66857142857143,48.19186080261943,0.4274284305587923,False,False,False,False
2017-32,145.83999999999997,15,166.07000000000002,10,186.04285714285714,48.52555811607107,0.8284882998500223,False,False,False,False
2017-33,249.54999999999998,16,145.83999999999997,15,165.92285714285714,48.59944365740747,1.7207428020505022,False,False,False,False
2017-34,126.91,11,249.54999999999998,16,174.97571428571428,61.43387877958515,0.7823975181213335,False,False,False,False
2017-35,162.06,15,126.91,11,183.71714285714282,64.24455300238449,0.33710473254190115,False,False,False,False
2017-36,105.41,10,162.06,15,190.15428571428575,62.03632453574892,1.366042981244822,False,False,False,False
2017-37,268.99,21,105.41,10,171.29142857142855,61.03239998246053,1.60076568276273,False,False,True,True
